#1
cat processes.dat | parallel -j 2,20,28.4400,156.3946,69.1668,10817.3082,6369.4465
cat processes.dat | parallel -j 2,21,28.4400,156.3677,69.3990,10851.7668,6404.6695
cat processes.dat | parallel -j 2,22,28.4400,156.8731,69.9727,10976.8290,6515.3583
cat processes.dat | parallel -j 2,23,28.4400,156.3955,69.4655,10864.0916,6416.2025
cat processes.dat | parallel -j 2,24,28.4400,156.3950,69.2532,10830.8577,6382.9841
cat processes.dat | parallel -j 2,25,28.4400,156.3945,69.2813,10835.2127,6387.3531
cat processes.dat | parallel -j 2,26,28.4400,156.3995,69.2494,10830.5670,6382.5642
cat processes.dat | parallel -j 2,27,28.4400,156.3930,69.5661,10879.6558,6431.8388
cat processes.dat | parallel -j 2,28,28.4400,156.3931,69.5026,10869.7260,6421.9054
cat processes.dat | parallel -j 2,29,28.4400,156.3935,69.2090,10823.8399,6376.0099
cat processes.dat | parallel -j 2,30,28.4400,156.3733,69.3181,10839.4930,6392.2370
cat processes.dat | parallel -j 2,31,28.4400,156.3991,69.3300,10843.1526,6395.1610
cat processes.dat | parallel -j 2,32,28.4400,156.3954,69.3013,10838.4039,6390.5183
cat processes.dat | parallel -j 2,33,28.4400,156.3904,69.7119,10902.2760,6454.5336
cat processes.dat | parallel -j 2,34,28.4400,156.3647,69.1529,10813.0730,6366.0609
cat processes.dat | parallel -j 2,35,28.4400,156.3690,69.3052,10837.1782,6390.0441
cat processes.dat | parallel -j 2,36,28.4400,156.3671,69.4248,10855.7616,6408.6809
cat processes.dat | parallel -j 2,37,28.4400,156.3979,69.1665,10817.4896,6369.5326
cat processes.dat | parallel -j 2,38,28.4400,156.3941,69.0874,10804.8619,6357.0149
cat processes.dat | parallel -j 2,39,28.4400,156.3978,69.1074,10808.2505,6360.2962
cat processes.dat | parallel -j 2,40,28.4400,156.3947,69.1884,10820.6937,6372.8298
cat processes.dat | parallel -j 2,41,28.4400,156.4836,69.3652,10854.5135,6404.1185
cat processes.dat | parallel -j 2,42,28.4400,156.3923,69.2832,10835.3613,6387.5650
cat processes.dat | parallel -j 2,43,28.4400,156.3945,69.1855,10820.2305,6372.3704
cat processes.dat | parallel -j 2,44,28.4400,156.3730,69.2116,10822.8276,6375.5795
cat processes.dat | parallel -j 2,45,28.4400,156.3993,69.3135,10840.5934,6392.5961
cat processes.dat | parallel -j 2,46,28.4400,156.3951,69.3326,10843.2759,6395.3992
cat processes.dat | parallel -j 2,47,28.4400,156.3904,69.2132,10824.2840,6376.5411
cat processes.dat | parallel -j 2,48,28.4400,156.6642,69.2316,10846.1119,6390.5834
cat processes.dat | parallel -j 2,49,28.4400,156.3931,69.0806,10803.7396,6355.9184
#3
cat processes.dat | parallel -j 3,0,28.4400,107.9706,85.1879,9197.7864,6127.1015
cat processes.dat | parallel -j 3,1,28.4400,107.9653,85.4028,9220.5377,6150.0051
cat processes.dat | parallel -j 3,2,28.4400,107.9670,85.6164,9243.7373,6173.1571
cat processes.dat | parallel -j 3,3,28.4400,107.9351,85.6458,9244.1876,6174.5133
cat processes.dat | parallel -j 3,4,28.4400,107.9447,85.6402,9244.4033,6174.4564
cat processes.dat | parallel -j 3,5,28.4400,107.9695,85.6654,9249.2562,6178.6025
cat processes.dat | parallel -j 3,6,28.4400,107.9360,85.7322,9253.5934,6183.8942
cat processes.dat | parallel -j 3,7,28.4400,107.9449,85.6098,9241.1459,6171.1919
cat processes.dat | parallel -j 3,8,28.4400,107.9643,85.7537,9258.3422,6187.8376
cat processes.dat | parallel -j 3,9,28.4400,107.5811,85.9302,9244.4647,6184.8580
cat processes.dat | parallel -j 3,10,28.4400,107.9399,85.3930,9217.3074,6147.4978
cat processes.dat | parallel -j 3,11,28.4400,107.9698,85.6140,9243.7286,6173.0674
cat processes.dat | parallel -j 3,12,28.4400,107.9668,85.5294,9234.3378,6163.7627
cat processes.dat | parallel -j 3,13,28.4400,107.9633,85.7949,9262.6976,6192.2209
cat processes.dat | parallel -j 3,14,28.4400,107.9724,85.5766,9239.9170,6169.1812
cat processes.dat | parallel -j 3,15,28.4400,107.9671,85.4762,9228.6150,6158.0303
cat processes.dat | parallel -j 3,16,28.4400,107.7306,85.6859,9230.9957,6167.1372
cat processes.dat | parallel -j 3,17,28.4400,107.9453,85.7463,9255.9029,6185.9396
cat processes.dat | parallel -j 3,18,28.4400,107.9641,85.6963,9252.1221,6181.6223
cat processes.dat | parallel -j 3,19,28.4400,107.9677,85.6098,9243.0949,6172.4934
cat processes.dat | parallel -j 3,20,28.4400,107.9608,85.5164,9232.4150,6162.0095
cat processes.dat | parallel -j 3,21,28.4400,107.9756,85.3556,9216.3259,6145.4989
cat processes.dat | parallel -j 3,22,28.4400,107.9650,85.2911,9208.4527,6137.9292
cat processes.dat | parallel -j 3,23,28.4400,107.9367,85.2350,9199.9935,6130.2725
cat processes.dat | parallel -j 3,24,28.4400,107.9436,85.2009,9196.8976,6126.9810
cat processes.dat | parallel -j 3,25,28.4400,107.9644,85.4168,9221.9728,6151.4663
cat processes.dat | parallel -j 3,26,28.4400,107.9698,85.2449,9203.8716,6133.2101
cat processes.dat | parallel -j 3,27,28.4400,107.9401,85.2963,9206.8835,6137.0682
cat processes.dat | parallel -j 3,28,28.4400,107.9716,85.2047,9199.6825,6128.9710
cat processes.dat | parallel -j 3,29,28.4400,107.9640,85.5121,9232.2376,6161.7402
cat processes.dat | parallel -j 3,30,28.4400,107.9689,85.3421,9214.2892,6143.6533
cat processes.dat | parallel -j 3,31,28.4400,107.9706,85.3626,9216.6528,6145.9690
cat processes.dat | parallel -j 3,32,28.4400,107.9640,85.4963,9230.5144,6160.0196
cat processes.dat | parallel -j 3,33,28.4400,107.6417,85.6178,9216.0489,6154.7193
cat processes.dat | parallel -j 3,34,28.4400,107.9453,85.6014,9240.2686,6170.3044
cat processes.dat | parallel -j 3,35,28.4400,107.9648,85.5439,9235.7317,6165.2131
cat processes.dat | parallel -j 3,36,28.4400,107.9673,85.4542,9226.2571,6155.6680
cat processes.dat | parallel -j 3,37,28.4400,107.9609,85.5435,9235.3484,6164.9405
cat processes.dat | parallel -j 3,38,28.4400,107.9756,85.2607,9206.0782,6135.2528
cat processes.dat | parallel -j 3,39,28.4400,107.9673,85.1860,9197.3002,6126.7102
cat processes.dat | parallel -j 3,40,28.4400,107.9618,85.2523,9203.9931,6133.5604
cat processes.dat | parallel -j 3,41,28.4400,107.9442,85.2481,9202.0402,6132.1075
cat processes.dat | parallel -j 3,42,28.4400,107.9664,85.1799,9196.5718,6126.0061
cat processes.dat | parallel -j 3,43,28.4400,107.9700,85.1939,9198.3893,6127.7221
cat processes.dat | parallel -j 3,44,28.4400,107.9398,85.2229,9198.9416,6129.1340
cat processes.dat | parallel -j 3,45,28.4400,107.9709,85.1874,9197.7616,6127.0681
cat processes.dat | parallel -j 3,46,28.4400,107.9661,85.2196,9200.8347,6130.2775
cat processes.dat | parallel -j 3,47,28.4400,107.9358,85.4056,9218.3240,6148.6294
cat processes.dat | parallel -j 3,48,28.4400,107.9720,85.4079,9221.6657,6150.9423
cat processes.dat | parallel -j 3,49,28.4400,107.9638,85.6098,9242.7578,6172.2683
#4
cat processes.dat | parallel -j 4,0,28.4400,78.3860,103.1690,8087.0029,5857.7064
cat processes.dat | parallel -j 4,1,28.4400,78.7107,101.9840,8027.2271,5788.6956
cat processes.dat | parallel -j 4,2,28.4400,78.7024,102.2006,8043.4325,5805.1371
cat processes.dat | parallel -j 4,3,28.4400,78.6778,102.4244,8058.5206,5820.9247
cat processes.dat | parallel -j 4,4,28.4400,78.7179,102.1865,8043.9148,5805.1763
cat processes.dat | parallel -j 4,5,28.4400,78.7025,101.8904,8019.0281,5780.7290
cat processes.dat | parallel -j 4,6,28.4400,78.6704,102.9686,8100.5822,5863.1955
cat processes.dat | parallel -j 4,7,28.4400,78.6923,102.6949,8081.2942,5843.2856
cat processes.dat | parallel -j 4,8,28.4400,78.7072,101.6795,8002.9092,5764.4761
cat processes.dat | parallel -j 4,9,28.4400,78.6903,102.4115,8058.7995,5820.8460
cat processes.dat | parallel -j 4,10,28.4400,78.7010,102.4782,8065.1375,5826.8810
cat processes.dat | parallel -j 4,11,28.4400,78.6825,101.9795,8024.0028,5786.2720
cat processes.dat | parallel -j 4,12,28.4400,78.7102,102.7974,8091.2084,5852.6898
cat processes.dat | parallel -j 4,13,28.4400,78.7051,102.3301,8053.9038,5815.5305
cat processes.dat | parallel -j 4,14,28.4400,78.6900,102.0737,8032.1782,5794.2353
cat processes.dat | parallel -j 4,15,28.4400,78.7024,102.3897,8058.3174,5820.0215
cat processes.dat | parallel -j 4,16,28.4400,78.6988,102.5647,8071.7228,5833.5288
cat processes.dat | parallel -j 4,17,28.4400,78.6947,102.1891,8041.7384,5803.6618
cat processes.dat | parallel -j 4,18,28.4400,78.7052,101.8731,8017.9406,5779.5648
cat processes.dat | parallel -j 4,19,28.4400,78.4402,103.1981,8094.8794,5864.0394
cat processes.dat | parallel -j 4,20,28.4400,78.6901,101.8667,8015.8996,5777.9528
cat processes.dat | parallel -j 4,21,28.4400,78.7025,102.2032,8043.6482,5805.3489
cat processes.dat | parallel -j 4,22,28.4400,78.6770,102.2782,8046.9462,5809.3713
cat processes.dat | parallel -j 4,23,28.4400,78.6917,101.8795,8017.0688,5779.0772
cat processes.dat | parallel -j 4,24,28.4400,78.7013,102.1865,8042.2170,5803.9510
cat processes.dat | parallel -j 4,25,28.4400,78.6887,102.6212,8075.1207,5837.2153
cat processes.dat | parallel -j 4,26,28.4400,78.7062,102.2795,8050.0316,5811.6268
cat processes.dat | parallel -j 4,27,28.4400,78.7035,101.8212,8013.6838,5775.3556
cat processes.dat | parallel -j 4,28,28.4400,78.6904,102.7494,8085.3845,5847.4305
cat processes.dat | parallel -j 4,29,28.4400,78.7025,102.6314,8077.3517,5839.0517
cat processes.dat | parallel -j 4,30,28.4400,78.6762,102.1353,8035.6137,5798.0626
cat processes.dat | parallel -j 4,31,28.4400,78.6888,102.6468,8077.1489,5839.2406
cat processes.dat | parallel -j 4,32,28.4400,78.6719,102.4679,8061.3504,5823.9209
cat processes.dat | parallel -j 4,33,28.4400,78.6852,101.9365,8020.8920,5783.0863
cat processes.dat | parallel -j 4,34,28.4400,78.7086,103.0391,8110.0628,5871.5904
cat processes.dat | parallel -j 4,35,28.4400,78.7064,102.4615,8064.3739,5825.9653
cat processes.dat | parallel -j 4,36,28.4400,78.7192,102.3712,8058.5794,5819.8042
cat processes.dat | parallel -j 4,37,28.4400,78.7033,102.1788,8041.8148,5803.4923
cat processes.dat | parallel -j 4,38,28.4400,78.4978,103.4948,8124.1170,5891.6396
cat processes.dat | parallel -j 4,39,28.4400,78.6899,102.1167,8035.5523,5797.6110
cat processes.dat | parallel -j 4,40,28.4400,78.7033,102.3603,8056.0854,5817.7648
cat processes.dat | parallel -j 4,41,28.4400,78.6766,102.4090,8057.1864,5819.6249
cat processes.dat | parallel -j 4,42,28.4400,78.6906,101.9872,8025.4335,5787.4725
cat processes.dat | parallel -j 4,43,28.4400,78.7022,102.2923,8050.6322,5812.3409
cat processes.dat | parallel -j 4,44,28.4400,78.6887,102.7859,8088.0876,5850.1813
cat processes.dat | parallel -j 4,45,28.4400,78.7062,102.4500,8063.4535,5825.0482
cat processes.dat | parallel -j 4,46,28.4400,78.7032,102.0429,8031.1040,5792.7857
cat processes.dat | parallel -j 4,47,28.4400,78.6906,102.6756,8079.6119,5841.6501
cat processes.dat | parallel -j 4,48,28.4400,78.7028,102.3731,8057.0517,5818.7430
cat processes.dat | parallel -j 4,49,28.4400,78.6762,102.3436,8052.0048,5814.4536
#5
cat processes.dat | parallel -j 5,0,28.4400,77.7083,103.7071,8058.9059,5848.8818
