./non_short_circuit 400000000 > /dev/null,8,30.1901,9.8275,52.9462,520.3307,223.6363
./non_short_circuit 400000000 > /dev/null,9,30.1901,9.8235,52.9322,519.9787,223.4070
./non_short_circuit 400000000 > /dev/null,10,30.1901,9.8256,52.4839,515.6847,219.0494
./non_short_circuit 400000000 > /dev/null,11,30.1901,10.4455,52.2482,545.7603,230.4086
./non_short_circuit 400000000 > /dev/null,12,30.1901,10.0771,53.1374,535.4728,231.2433
./non_short_circuit 400000000 > /dev/null,13,30.1901,9.8300,53.0079,521.0691,224.2997
./non_short_circuit 400000000 > /dev/null,14,30.1901,9.8263,53.1344,522.1156,225.4583
./non_short_circuit 400000000 > /dev/null,15,30.1901,9.8339,52.6630,517.8807,220.9955
./non_short_circuit 400000000 > /dev/null,16,30.1901,9.8189,52.2106,512.6522,216.2180
./non_short_circuit 400000000 > /dev/null,17,30.1901,9.8276,51.7864,508.9361,212.2399
./non_short_circuit 400000000 > /dev/null,18,30.1901,9.8133,51.9333,509.6369,213.3725
./non_short_circuit 400000000 > /dev/null,19,30.1901,9.8233,53.3117,523.6986,227.1312
./non_short_circuit 400000000 > /dev/null,20,30.1901,9.8213,53.2688,523.1693,226.6628
./non_short_circuit 400000000 > /dev/null,21,30.1901,9.8334,52.8113,519.3148,222.4432
./non_short_circuit 400000000 > /dev/null,22,30.1901,9.8265,52.2640,513.5734,216.9097
./non_short_circuit 400000000 > /dev/null,23,30.1901,9.8274,51.8171,509.2257,212.5364
./non_short_circuit 400000000 > /dev/null,24,30.1901,9.8384,52.8573,520.0304,223.0088
./non_short_circuit 400000000 > /dev/null,25,30.1901,9.8379,53.4865,526.1953,229.1877
./non_short_circuit 400000000 > /dev/null,26,30.1901,9.8313,53.1879,522.9079,226.0991
./non_short_circuit 400000000 > /dev/null,27,30.1901,9.8269,52.7341,518.2155,221.5391
./non_short_circuit 400000000 > /dev/null,28,30.1901,9.8201,52.3895,514.4688,217.9998
./non_short_circuit 400000000 > /dev/null,29,30.1901,9.8165,52.5212,515.5729,219.2128
./non_short_circuit 400000000 > /dev/null,30,30.1901,9.8290,53.1782,522.6873,225.9498
./non_short_circuit 400000000 > /dev/null,31,30.1901,9.8257,55.0226,540.6374,243.9975
./non_short_circuit 400000000 > /dev/null,32,30.1901,9.8214,53.1581,522.0879,225.5786
./non_short_circuit 400000000 > /dev/null,33,30.1901,9.8275,53.1691,522.5213,225.8269
./non_short_circuit 400000000 > /dev/null,34,30.1901,9.8231,52.2114,512.8789,216.3182
./non_short_circuit 400000000 > /dev/null,35,30.1901,9.8172,52.3504,513.9358,217.5525
./non_short_circuit 400000000 > /dev/null,36,30.1901,9.8200,53.3427,523.8258,227.3590
./non_short_circuit 400000000 > /dev/null,37,30.1901,9.8256,53.4580,525.2546,228.6201
./non_short_circuit 400000000 > /dev/null,38,30.1901,9.8255,52.9954,520.7058,224.0734
./non_short_circuit 400000000 > /dev/null,39,30.1901,9.8203,52.6618,517.1548,220.6792
./non_short_circuit 400000000 > /dev/null,40,30.1901,9.8341,52.0096,511.4692,214.5760
./non_short_circuit 400000000 > /dev/null,41,30.1901,9.8219,52.6904,517.5172,220.9944
./non_short_circuit 400000000 > /dev/null,42,30.1901,9.8263,53.5432,526.1311,229.4744
./non_short_circuit 400000000 > /dev/null,43,30.1901,10.4437,53.4876,558.6106,243.3129
./non_short_circuit 400000000 > /dev/null,44,30.1901,9.8250,51.6850,507.8059,211.1876
./non_short_circuit 400000000 > /dev/null,45,30.1901,9.8206,53.1959,522.4151,225.9306
./non_short_circuit 400000000 > /dev/null,46,30.1901,9.8276,53.3841,524.6351,227.9402
./non_short_circuit 400000000 > /dev/null,47,30.1901,9.7904,52.9740,518.6370,223.0635
./non_short_circuit 400000000 > /dev/null,48,30.1901,9.8287,52.7222,518.1933,221.4627
./non_short_circuit 400000000 > /dev/null,49,30.1901,10.0821,52.3937,528.2379,223.8586
./non_short_circuit 400000000 > /dev/null,stats,222.2495,208.1879,243.9975,52.0503
./parameter_by_value 800000000 > /dev/null,0,30.4026,11.0692,52.5936,582.1692,245.6362
./parameter_by_value 800000000 > /dev/null,1,30.4026,11.2112,52.7106,590.9512,250.0999
./parameter_by_value 800000000 > /dev/null,2,30.4026,11.5149,53.6814,618.1388,268.0542
./parameter_by_value 800000000 > /dev/null,3,30.4026,11.0594,52.1190,576.4030,240.1689
./parameter_by_value 800000000 > /dev/null,4,30.4026,11.0551,52.3320,578.5384,242.4328
